"Preseason","Week 1
Sept 4[3]","Week 2
Sept 9[4]","Week 3
Sept 16[5]","Week 4
Sept 23[6]","Week 5
Sept 30[7]","Week 6
Oct 7[8]","Week 7
Oct 14[9]","Week 8
Oct 21[10]","Week 9
Oct 28[11]","Week 10
Nov 4[12]","Week 11
Nov 11[13]","Week 12
Nov 18[14]","Week 13
Nov 25[15]","Week 14
Dec 2[16]","Final"
USC (62),USC (1-0) (59),USC (1-0) (40),USC (2-0) (46),USC (3-0) (43),LSU (5-0) (33),LSU (6-0) (65),Ohio State (7-0) (50),Ohio State (8-0) (57),Ohio State (9-0) (59),Ohio State (10-0) (60),LSU (9-1) (40),LSU (10-1) (60),Missouri (11-1) (45),Ohio State (11-1) (50),LSU (12-2) (60)
LSU (2),LSU (1-0) (5),LSU (2-0) (25),LSU (3-0) (19),LSU (4-0) (22),USC (4-0) (32),California (5-0),South Florida (6-0) (11),Boston College (7-0) (2),Boston College (8-0) (1),LSU (8-1) (5),Oregon (8-1) (22),Kansas (11-0) (3),West Virginia (10-1) (20),LSU (11-2) (11),Georgia (11-2) (3)
West Virginia (1),West Virginia (1-0) (1),Oklahoma (2-0),Florida (3-0),Oklahoma (4-0),California (5-0),Ohio State (6-0),Boston College (7-0) (1),LSU (7-1) (5),LSU (7-1) (3),Oregon (8-1),Oklahoma (9-1) (1),Missouri (10-1) (1),Ohio State (11-1),Oklahoma (11-2) (1),USC (11-2) (1)
Texas,Florida (1-0),West Virginia (2-0),Oklahoma (3-0),Florida (4-0),Ohio State (5-0),Boston College (6-0),Oklahoma (6-1) (1),Oklahoma (7-1),Oregon (7-1),Oklahoma (8-1),Kansas (10-0) (1),West Virginia (9-1) (1),Georgia (10-2),Georgia (10-2) (1),Missouri (12-2)
Michigan,Oklahoma (1-0) т,Florida (2-0),West Virginia (3-0),West Virginia (4-0),Wisconsin (5-0),South Florida (5-0),LSU (6-1) (1),Oregon (6-1),Oklahoma (7-1),Kansas (9-0),West Virginia (8-1) (1),Ohio State (11-1),LSU (10-2),Virginia Tech (11-2) (1),Ohio State (11-2)
Florida,Wisconsin (1-0) т,Texas (2-0),California (3-0),California (4-0),South Florida (4-0),Oklahoma (5-1),South Carolina (6-1),West Virginia (6-1),Arizona State (8-0) (2),West Virginia (7-1),Missouri (9-1),Georgia (9-2),Virginia Tech (10-2),USC (10-2),West Virginia (11-2)
Wisconsin,Texas (1-0),Wisconsin (2-0),Texas (3-0),Texas (4-0),Boston College (5-0),South Carolina (5-1),Oregon (5-1),Arizona State (7-0) (1),West Virginia (7-1),Missouri (8-1),Ohio State (10-1),Arizona State (9-1),Kansas (11-1),Missouri (11-2),Kansas (12-1) (1)
Oklahoma,Louisville (1-0),California (2-0),Ohio State (3-0),Ohio State (4-0),Kentucky (5-0),West Virginia (5-1),Kentucky (6-1),Virginia Tech (6-1),Kansas (8-0),Boston College (8-1),Georgia (8-2),Virginia Tech (9-2),USC (9-2),Kansas (11-1),Oklahoma (11-3)
Virginia Tech,Virginia Tech (1-0),Louisville (2-0),Wisconsin (3-0),Wisconsin (4-0),Florida (4-1),Oregon (4-1),West Virginia (5-1),Florida (5-2) т,Missouri (7-1),Arizona State (8-1),Arizona State (9-1),Oregon (8-2),Oklahoma (10-2),Florida (9-3),Virginia Tech (11-3)
Louisville,California (1-0),Ohio State (2-0),Penn State (3-0),Rutgers (3-0),Oklahoma (4-1),USC (4-1),California (5-1),USC (6-1) т,Georgia (6-2),Georgia (7-2),Virginia Tech (8-2),Oklahoma (9-2),Florida (9-3),Hawaii (12-0) (1),Boston College (11-3) т
Ohio State,Georgia (1-0),UCLA (2-0),Rutgers (3-0),Oregon (4-0),South Carolina (4-1),Missouri (5-0),Virginia Tech (6-1),South Florida (6-1),Virginia Tech (6-2),Virginia Tech (7-2),USC (8-2),USC (8-2),Hawaii (11-0),West Virginia (10-2),Texas (10-3) т
California,Ohio State (1-0),Penn State (2-0),South Carolina (3-0),Boston College (4-0),Georgia (4-1),Virginia Tech (5-1),Arizona State (7-0) (1),Kansas (7-0),Hawaii (8-0),USC (7-2),Texas (9-2),Florida (8-3),Boston College (10-2),Arizona State (10-2),Tennessee (10-4)
Georgia,UCLA (1-0),Rutgers (2-0),Oregon (3-0),Clemson (4-0),West Virginia (4-1),Florida (4-2),USC (5-1),Missouri (6-1),USC (6-2),Michigan (8-2),Hawaii (9-0),Texas (9-2),Arizona State (9-2),Illinois (9-3),Florida (9-4)
