"Preseason","Week 1
Sept 2[3]","Week 2
Sept 7[4]","Week 3
Sept 14[5]","Week 4
Sept 21[6]","Week 5
Sept 28[7]","Week 6
Oct 5[8]","Week 7
Oct 12[9]","Week 8
Oct 19[10]","Week 9
Oct 26[11]","Week 10
Nov 2[12]","Week 11
Nov 9[13]","Week 12
Nov 16[14]","Week 13
Nov 23[15]","Week 14
Nov 30[16]","Week 15
Dec 7[17]","Final"
Georgia (22),USC (1-0) (21),USC (1-0) (33),USC (2-0) (61),USC (2-0) (62),Oklahoma (4-0) (43),Oklahoma (5-0) (51),Texas (6-0) (39),Texas (7-0) (65),Texas (8-0) (65),Alabama (9-0) (46),Alabama (10-0) (44),Alabama (11-0) (42),Alabama (11-0) (63),Alabama (12-0) (62),Florida (12-1) (50),Florida (13-1) (48)
Ohio State (21),Georgia (1-0) (20),Georgia (2-0) (23),Oklahoma (3-0),Oklahoma (3-0),Alabama (5-0) (21),Alabama (6-0) (13),Alabama (6-0) (26),Alabama (7-0),Alabama (8-0),Texas Tech (9-0) (12),Texas Tech (10-0) (21),Texas Tech (10-0) (21),Florida (10-1) (2),Florida (11-1) (3),Oklahoma (12-1) (9),Utah (13-0) (16)
USC (12),Ohio State (1-0) (15),Oklahoma (2-0) (2),Georgia (3-0) (2),Georgia (4-0) (2),LSU (4-0),Missouri (5-0) (1),Penn State (7-0),Penn State (8-0),Penn State (9-0),Penn State (9-0) (6),Florida (8-1),Florida (9-1) (2),Oklahoma (10-1),Texas (11-1),Texas (11-1) (6),USC (12-1) (1)
Oklahoma (4),Oklahoma (1-0) (2),Florida (2-0) (4),Florida (2-0) (1),Florida (3-0) (1),Missouri (4-0) (1),LSU (4-0),Oklahoma (5-1),Oklahoma (6-1),Oklahoma (7-1),Florida (7-1) (1),Texas (9-1),Texas (10-1),Texas (10-1),Oklahoma (11-1),Alabama (12-1),Texas (12-1)
Florida (6),Florida (1-0) (5),Ohio State (2-0) (1),Missouri (3-0),LSU (3-0),Texas (4-0),Texas (5-0),Florida (5-1),Florida (5-1),Florida (6-1),Texas (8-1),Oklahoma (9-1),Oklahoma (9-1),USC (9-1),USC (10-1),USC (11-1),Oklahoma (12-2)
Missouri,Missouri (1-0) (1),Missouri (2-0) (1),LSU (2-0),Missouri (4-0),Penn State (5-0),Penn State (6-0),USC (4-1),USC (5-1),Texas Tech (8-0),Oklahoma (8-1),USC (8-1),USC (9-1),Penn State (11-1),Penn State (11-1),Penn State (11-1),Alabama (12-2)
LSU,LSU (1-0) (1),LSU (1-0) (1),Texas (2-0),Texas (3-0),Texas Tech (4-0),Texas Tech (5-0),Texas Tech (6-0),Oklahoma State (7-0),USC (6-1),USC (7-1),Penn State (9-1),Penn State (10-1),Texas Tech (10-1),Utah (12-0),Utah (12-0),TCU (11-2)
West Virginia,West Virginia (1-0),Texas (2-0),Wisconsin (3-0),Alabama (4-0),BYU (4-0),USC (3-1),Oklahoma State (6-0),Texas Tech (7-0),Georgia (7-1),Oklahoma State (8-1),Utah (10-0),Utah (11-0),Utah (12-0),Texas Tech (11-1),Texas Tech (11-1),Penn State (11-2)
Clemson,Auburn (1-0),Auburn (2-0),Alabama (3-0),Wisconsin (3-0),USC (2-1),BYU (5-0),BYU (6-0),Georgia (6-1),Oklahoma State (7-1),Boise State (8-0),Boise State (9-0),Boise State (10-0),Boise State (11-0),Boise State (12-0),Boise State (12-0),Ohio State (10-3)
Auburn,Texas (1-0),Wisconsin (2-0),Auburn (3-0),Texas Tech (4-0),South Florida (5-0),Georgia (4-1),Georgia (5-1),Ohio State (7-1),Utah (8-0),Utah (9-0),Ohio State (8-2),Ohio State (9-2),Ohio State (10-2),Ohio State (10-2),Ohio State (10-2),Oregon (10-3)
Texas,Wisconsin (1-0),Alabama (2-0),Texas Tech (3-0),BYU (4-0),Georgia (4-1),Florida (4-1),Missouri (5-1),LSU (5-1),Boise State (7-0),TCU (9-1),Oklahoma State (8-2),Oklahoma State (9-2),Oklahoma State (9-2),TCU (10-2),TCU (10-2),Boise State (12-1)
Texas Tech,Texas Tech (1-0),Texas Tech (2-0),South Florida (3-0),Penn State (4-0),Florida (3-1),Ohio State (5-1),Ohio State (6-1),Utah (8-0),TCU (8-1),Ohio State (7-2),Missouri (8-2),Missouri (9-2),Missouri (9-2),Ball State (12-0),Cincinnati (11-2),Texas Tech (11-2)
Wisconsin,Alabama (1-0),Kansas (2-0),Ohio State (2-1),South Florida (4-0),Auburn (4-1),Vanderbilt (5-0),LSU (4-1),Boise State (6-0),Ohio State (7-2),Missouri (7-2),Georgia (8-2),Georgia (9-2),Georgia (9-2),Cincinnati (10-2),Oklahoma State (9-3),Georgia (10-3)
Kansas,Kansas (1-0),East Carolina (2-0),BYU (3-0),Ohio State (3-1),Ohio State (4-1),Utah (6-0),Utah (7-0),South Florida (6-1),Missouri (6-2),Georgia (7-2),Ball State (9-0),Ball State (10-0),TCU (10-2),Oklahoma State (9-3),Georgia Tech (9-3),Ole Miss (9-4)
Arizona State,Arizona State (1-0) т,Arizona State (2-0),East Carolina (3-0),Auburn (3-1),Utah (5-0),Boise State (4-0),Boise State (5-0),TCU (7-1),LSU (5-2),LSU (6-2),TCU (9-2),TCU (9-2),Ball State (11-0),Georgia Tech (9-3),Oregon (9-3),Virginia Tech (10-4)
BYU,BYU (1-0) т,Oregon (2-0),Penn State (3-0),Wake Forest (3-0),Kansas (3-1),Kansas (4-1),Kansas (5-1),Missouri (5-2),Florida State (6-1),Ball State (8-0),BYU (9-1),BYU (10-1),Cincinnati (9-2),Oregon (9-3),Georgia (9-3),Oklahoma State (9-4)
Virginia Tech,South Florida (1-0),Penn State (2-0),Oregon (3-0),Utah (4-0),Boise State (3-0),Oklahoma State (5-0),Virginia Tech (5-1),Pittsburgh (5-1),BYU (7-1),BYU (8-1),North Carolina (7-2),Michigan State (9-2),Oregon State (8-3),Georgia (9-3),BYU (10-2),Cincinnati (11-3)
Tennessee,Oregon (1-0),BYU (2-0),Wake Forest (2-0),Kansas (3-1),Wisconsin (3-1),Virginia Tech (5-1),North Carolina (5-1),BYU (6-1),Ball State (8-0),Michigan State (8-2),Michigan State (9-2),LSU (7-3),Georgia Tech (8-3),Boston College (9-3),Pittsburgh (9-3),Oregon State (9-4)
South Florida,Penn State (1-0),South Florida (2-0),Kansas (2-1),Boise State (3-0),Vanderbilt (4-0),South Florida (5-1),South Florida (5-1),Kansas (5-2),Tulsa (7-0),North Carolina (6-2),LSU (6-3),Cincinnati (8-2),Oregon (8-3),Missouri (9-3),Michigan State (9-3),Missouri (10-4)
Illinois,Wake Forest (1-0),Wake Forest (2-0),Utah (3-0),Clemson (3-1),Virginia Tech (4-1),Auburn (4-2),Michigan State (6-1),Ball State (7-0),Minnesota (7-1),West Virginia (6-2),Florida State (7-2),Pittsburgh (7-2),Boston College (8-3) т,BYU (10-2),Ole Miss (8-4),Iowa (9-4)
Oregon,Fresno State (1-0),Fresno State (1-0),West Virginia (1-1),Vanderbilt (4-0),Oklahoma State (4-0),Wake Forest (3-1),Wake Forest (4-1),Georgia Tech (6-1),North Carolina (6-2),California (6-2),Pittsburgh (7-2),Oregon State (7-3),BYU (10-2) т,Michigan State (9-3),Virginia Tech (9-4),Florida State (9-4)
Penn State,Utah (1-0),Utah (2-0),Illinois (2-1),Illinois (2-1),Fresno State (3-1),North Carolina (4-1),Vanderbilt (5-1),Tulsa (7-0),Michigan State (7-2),Georgia Tech (7-2),Cincinnati (7-2),Maryland (7-3),Michigan State (9-3),Ole Miss (8-4),Northwestern (9-3),Georgia Tech (9-4)
Wake Forest,UCLA (1-0),California (2-0),Clemson (2-1),East Carolina (3-1),Oregon (4-1),Michigan State (5-1),Pittsburgh (4-1),Boston College (5-1),Oregon (6-2),Maryland (6-2),Oregon State (6-3),Miami (FL) (7-3),Florida State (8-3),Pittsburgh (8-3),Ball State (12-1),West Virginia (9-4)
Alabama,Illinois (0-1) т,Illinois (1-1),Florida State (2-0),TCU (4-0),Connecticut (5-0),Pittsburgh (4-1),Ball State (7-0),Florida State (5-1),South Florida (6-2),Florida State (6-2),South Carolina (7-3),Oregon (8-3),Northwestern (9-3),Northwestern (9-3),Oregon State (8-4),Michigan State (9-4)
Pittsburgh,South Carolina (1-0) т,West Virginia (1-1),Fresno State (1-1),Fresno State (2-1),Wake Forest (3-1),Ball State (6-0),California (4-1),Minnesota (6-1),Maryland (6-2),Pittsburgh (6-2),Tulsa (8-1),North Carolina (7-3),Ole Miss (7-4),Oregon State (8-4),Missouri (9-4),BYU (10-3)
