"Preseason","Week 1
Sep 8","Week 2
Sep 13","Week 3
Sep 20","Week 4
Sep 27","Week 5
Oct 4","Week 6
Oct 11","Week 7
Oct 18","Week 8
Oct 25","Week 9
Nov 1","Week 10
Nov 8","Week 11
Nov 15","Week 12
Nov 22","Week 13
Nov 29","Week 14
Dec 6","Final"
Florida (58),Florida (1–0) (56),Florida (2–0) (56),Florida (3–0) (55),Florida (4–0) (55),Florida (4–0) (54),Florida (5–0) (50),Alabama (7–0) (39),Florida (7–0) (30),Florida (8–0) (38),Florida (9–0) (39),Florida (10–0) (36),Florida (11–0) (36),Florida (12–0) (46),Alabama (13–0) (58),Alabama (14-0) (60)
Texas (2),Texas (1–0) (2),Texas (2–0) (1),Texas (3–0) (2),Texas (4–0) (1),Texas (4–0) (1),Alabama (6–0) (10),Florida (6–0) (20),Alabama (8–0) (23),Texas (8–0) (13),Texas (9–0) (10),Alabama (10–0) (14),Alabama (11–0) (13),Alabama (12–0) (7),Texas (13–0) (2),Texas (13-1)
Oklahoma,USC (1–0),USC (2–0) (1),Alabama (3–0) (3),Alabama (4–0) (4),Alabama (5–0) (5),Texas (5–0),Texas (6–0),Texas (7–0) (7),Alabama (8–0) (8),Alabama (9–0) (11),Texas (10–0) (10),Texas (11–0) (11),Texas (12–0) (7),TCU (12–0),Florida (13-1)
USC,Alabama (1–0) (2),Alabama (2–0) (2),Ole Miss (2–0),LSU (4–0),LSU (5–0),Virginia Tech (5–1),USC (5–1),USC (6–1),Cincinnati (8–0),TCU (9–0),TCU (10–0),TCU (11–0),TCU (12–0),Cincinnati (12–0),Boise State (14-0)
Alabama,Oklahoma State (1–0),Ole Miss (1–0) т,Penn State (3–0),Boise State (4–0),Virginia Tech (4–1),Boise State (5–0),Cincinnati (6–0),Cincinnati (7–0),Boise State (8–0),Cincinnati (9–0),Cincinnati (10–0),Cincinnati (10–0),Cincinnati (11–0),Florida (12–1),Ohio State (11-2)
Ohio State,Ole Miss (1–0),Penn State (2–0) т,California (3–0),Virginia Tech (3–1),Boise State (5–0),USC (4–1),Boise State (6–0),Boise State (7–0),TCU (8–0),Boise State (9–0),Boise State (10–0),Boise State (10–0),Boise State (12–0),Boise State (13–0),TCU (12-1)
Virginia Tech,Penn State (1–0),BYU (2–0),LSU (3–0),USC (3–1),USC (4–1),Ohio State (5–1),Iowa (7–0),Iowa (8–0),Oregon (7–1),Georgia Tech (9–1),Georgia Tech (10–1),Georgia Tech (10–1),Oregon (9–2),Oregon (10–2),Iowa (11-2)
Ole Miss,Ohio State (1–0),California (2–0),Boise State (3–0),Oklahoma (2–1),Cincinnati (5–0),Cincinnati (5–0),Miami (FL) (5–1),TCU (7–0),Iowa (9–0),Pittsburgh (8–1),Pittsburgh (9–1),Pittsburgh (9–1),Ohio State (10–2),Ohio State (10–2),Cincinnati (12-1)
Oklahoma State т,BYU (1–0),LSU (2–0),Miami (FL) (2–0),Ohio State (3–1),Ohio State (4–1),Miami (FL) (4–1),LSU (5–1),LSU (6–1),LSU (7–1),LSU (7–2),Ohio State (9–2),Ohio State (10–2),Iowa (10–2),Georgia Tech (11–2),Penn State (11-2)
Penn State т,California (1–0),Boise State (2–0),Oklahoma (2–1),Cincinnati (4–0),TCU (4–0),LSU (5–1),TCU (6–0),Oregon (6–1),Georgia Tech (7–1),Ohio State (8–2),LSU (8–2),Oregon (9–2),Penn State (10–2),Iowa (10–2),Virginia Tech (10-3)
LSU,LSU (1–0),Ohio State (1–1),Virginia Tech (2–1),TCU (3–0),Miami (FL) (3–1),Iowa (6–0),Georgia Tech (6–1),Georgia Tech (7–1),Penn State (7–1),USC (7–2),Oregon (8–2),Oklahoma State (9–2),Virginia Tech (9–3),Penn State (10–2),Oregon (10-3)
California,Boise State (1–0),Oklahoma (1–1),USC (2–1),Houston (3–0),Iowa (5–0),TCU (5–0),Oregon (5–1),Penn State (7–1),USC (6–2),Miami (FL) (7–2),Oklahoma State (8–2),Penn State (10–2),Georgia Tech (10–2),Virginia Tech (9–3),BYU (11-2)
Georgia,Oklahoma (0–1),Virginia Tech (1–1),Ohio State (2–1),Iowa (4–0),Oregon (4–1),Oregon (5–1),Penn State (6–1),Oklahoma State (6–1),Houston (7–1),Houston (8–1),Penn State (9–2),Iowa (10–2),Oregon State (8–3),LSU (9–3),Georgia Tech (11-3)
Boise State,Virginia Tech (0–1),Georgia Tech (2–0),Cincinnati (3–0),Oklahoma State (3–1),Penn State (4–1),Penn State (5–1),Oklahoma State (5–1),Virginia Tech (5–2),Pittsburgh (7–1),Oregon (7–2),Stanford (7–3),Virginia Tech (8–3),Pittsburgh (9–2),Miami (FL) (9–3),Nebraska (10-4)
Georgia Tech,Georgia Tech (1–0),TCU (1–0),TCU (2–0),Penn State (3–1),Oklahoma State (3–1),Nebraska (4–1),Virginia Tech (5–2),Houston (6–1),Ohio State (7–2),Iowa (9–1),Iowa (9–2),Clemson (8–3),LSU (9–3),BYU (10–2),Pittsburgh (10-3)
Oregon,TCU (0–0),Oklahoma State (1–1),Oklahoma State (2–1),Oregon (3–1),Kansas (4–0),Oklahoma State (4–1),BYU (6–1),Pittsburgh (7–1),Miami (FL) (6–2),Utah (8–1),Virginia Tech (7–3),Oregon State (8–3),BYU (10–2),Oregon State (8–4),Wisconsin (10-3)
TCU,Utah (1–0),Cincinnati (2–0),Houston (2–0),Miami (FL) (2–1),Auburn (5–0),Kansas (5–0),Houston (5–1),Ohio State (6–2),Utah (7–1),Oklahoma State (7–2),Wisconsin (8–2),LSU (8–3),Miami (FL) (9–3),Pittsburgh (9–3),LSU (9-4)
Florida State,Notre Dame (1–0),Utah (2–0),Florida State (2–1),Georgia (3–1) т,BYU (4–1),BYU (5–1),Ohio State (5–2),Miami (FL) (5–2),Oklahoma State (6–2),Arizona (6–2),Clemson (7–3),BYU (9–2),Houston (10–2),West Virginia (9–3),Utah (10-3)
Utah,North Carolina (1–0),Nebraska (1–0),BYU (2–1),Kansas (4–0) т,Oklahoma (2–2),Georgia Tech (5–1),Utah (5–1),Utah (6–1),Notre Dame (6–2),Penn State (8–2),BYU (8–2),Miami (FL) (8–3),California (8–3),Stanford (8–4),Miami (FL) (9-4)
BYU,Miami (FL) (1–0),Miami (FL) (1–0),Kansas (3–0),BYU (3–1),Ole Miss (3–1),Oklahoma (3–2),Pittsburgh (6–1),West Virginia (6–1),Oklahoma (5–3),Virginia Tech (6–3),Oregon State (7–3),Ole Miss (8–3),USC (8–3),Nebraska (9–4),Ole Miss (9-4)
North Carolina,Georgia (0–1),Houston (2–0),Georgia (2–1),Ole Miss (2–1),Nebraska (3–1),South Florida (5–0),Texas Tech (5–2),South Carolina (6–2),Arizona (5–2),Wisconsin (7–2),Miami (FL) (7–3),California (8–3),Nebraska (9–3),Oklahoma State (9–3),Texas Tech (9-4)
Iowa,Nebraska (1–0),Kansas (2–0),North Carolina (3–0),Michigan (4–0),Georgia Tech (4–1),South Carolina (5–1),West Virginia (5–1),Oklahoma (4–3),Virginia Tech (5–3),BYU (7–2),USC (7–3),Utah (9–2),Oklahoma State (9–3),Arizona (8–4),USC (9-4)
Notre Dame,Cincinnati (1–0),Georgia (1–1),Michigan (3–0),Nebraska (3–1),South Florida (5–0),Houston (4–1),South Carolina (5–2),Arizona (5–2),California (6–2),South Florida (6–2),Utah (8–2),North Carolina (8–3),Stanford (8–4),Utah (9–3),Central Michigan (12-2)
Nebraska,Kansas (1–0),North Carolina (2–0),Washington (2–1),California (3–1),Missouri (4–0),Utah (4–1),Kansas (5–1),Ole Miss (5–2),Wisconsin (6–2),Clemson (6–3),Houston (8–2),USC (7–3),West Virginia (8–3),Wisconsin (9–3),Clemson (9-5)
Kansas,Missouri (1–0),Michigan (2–0),Nebraska (2–1),Georgia Tech (3–1),South Carolina (4–1),Notre Dame (4–1),Oklahoma (3–3),Notre Dame (5–2),BYU (6–2),Stanford (6–3),Rutgers (7–2),Houston (9–2),Clemson (8–4),Central Michigan (11–2),West Virginia (9-4)
