"Preseason","Week 1
Sep 4","Week 2
Sep 9","Week 3
Sep 16","Week 4
Sep 23","Week 5
Sep 30","Week 6
Oct 7","Week 7
Oct 14","Week 8
Oct 21","Week 9
Oct 28","Week 10
Nov 4","Week 11
Nov 11","Week 12
Nov 18","Week 13
Nov 25","Week 14
Dec 2","Final"
USC (25),Alabama (1–0) (45),Alabama (2–0) (48),Alabama (3–0) (58),Alabama (4–0) (59),Alabama (5–0) (60),Alabama (5–0) (60),Alabama (6–0) (60),Alabama (7–0) (59),Alabama (8–0) (60),Alabama (9–0) (60),Oregon (10–0) (45),Notre Dame (11–0) (60),Notre Dame (12–0) (60),Notre Dame (12–0) (60),Alabama (13–1) (59)
Alabama (17),USC (1–0) (11),USC (2–0) (8),LSU (3–0) (2),Oregon (4–0),Oregon (5–0),Oregon (6–0),Oregon (6–0),Oregon (7–0),Oregon (8–0),Oregon (9–0),Kansas State (10–0) (14),Alabama (10–1),Alabama (11–1),Alabama (12–1),Oregon (12–1)
LSU (16),LSU (1–0) (4),LSU (2–0) (4),Oregon (3–0),LSU (5–0) (1),Florida State (5–0),South Carolina (6–0),Florida (6–0),Florida (7–0) (1),Kansas State (8–0),Kansas State (9–0),Notre Dame (10–0) (1),Georgia (10–1),Georgia (11–1),Ohio State (12–0),Ohio State (12–0)
Oklahoma (1),Oregon (1–0),Oregon (2–0),Florida State (3–0),Florida State (4–0),LSU (5–0),Florida (5–0),Kansas State (6–0),Kansas State (7–0),Notre Dame (8–0),Notre Dame (9–0),Alabama (9–1),Ohio State (11–0),Ohio State (12–0),Florida (11–1),Notre Dame (12–1)
Oregon,Oklahoma (1–0),Florida State (2–0) т,Georgia (3–0),Georgia (4–0),Georgia (5–0),West Virginia (5–0),Notre Dame (6–0),Notre Dame (7–0),LSU (7–1),Georgia (8–1) т,Georgia (9–1),Oregon (10–1),Florida (11–1),Oregon (11–1),Georgia т (12–2)
Georgia,Florida State (1–0),Oklahoma (2–0) т,Oklahoma (2–0),South Carolina (4–0),South Carolina (5–0),Kansas State (5–0),LSU (6–1),LSU (7–1),Ohio State (9–0),Ohio State (10–0) т,Ohio State (10–0),Florida (10–1),Oregon (11–1),Georgia (11–2),Texas A&M т (11–2)
Florida State,Georgia (1–0),Georgia (2–0),South Carolina (3–0),Kansas State (4–0),Kansas State (4–0),Notre Dame (5–0),Ohio State (7–0),Oregon State (6–0),Georgia (7–1),Florida (8–1),Florida (9–1),Kansas State (10–1),Kansas State (10–1),Kansas State (11–1),Stanford (12–2)
Michigan (1),Arkansas (1–0),South Carolina (2–0),West Virginia (2–0),Stanford (3–0),West Virginia (4–0),Ohio State (6–0),Oregon State (5–0),Oklahoma (5–1),Florida (7–1),Florida State (8–1),LSU (8–2),LSU (9–2),Stanford (10–2),Stanford (11–2),South Carolina (11–2)
South Carolina,South Carolina (1–0) т,West Virginia (1–0),Stanford (3–0),West Virginia (3–0),Notre Dame (4–0),LSU (5–1),South Carolina (6–1),Ohio State (8–0),Florida State (8–1),LSU (7–2),Texas A&M (8–2),Texas A&M (9–2),LSU (10–2),LSU (10–2),Florida (11–2)
Arkansas,West Virginia (1–0) т,Michigan State (2–0),Clemson (3–0),Notre Dame (4–0),Florida (4–0),Oregon State (4–0),Oklahoma (4–1),USC (6–1),Clemson (7–1),Clemson (8–1),Florida State (9–1),Florida State (10–1),Texas A&M (10–2),Texas A&M (10–2),Florida State (12–2)
West Virginia,Michigan State (1–0),Clemson (2–0),Notre Dame (3–0),Florida (4–0),Texas (4–0),USC (4–1),USC (5–1),Florida State (7–1),South Carolina (7–2),Louisville (9–0),Clemson (9–1),Stanford (9–2),South Carolina (10–2),South Carolina (10–2),Clemson (11–2)
Wisconsin,Clemson (1–0),Ohio State (2–0),Texas (3–0),Texas (3–0),Ohio State (5–0),Florida State (5–1),Florida State (6–1),Georgia (6–1),Louisville (8–0),South Carolina (7–2),South Carolina (8–2),Clemson (10–1),Oklahoma (9–2),Oklahoma (10–2),Kansas State (11–2)
Michigan State,Wisconsin (1–0),Virginia Tech (2–0),USC (2–1),USC (3–1),USC (3–1),Oklahoma (3–1),Georgia (5–1),Mississippi State (7–0),Oregon State (6–1),Oregon State (7–1),Oklahoma (7–2),South Carolina (9–2),Florida State (10–2),Florida State (11–2),Louisville (11–2)
Clemson,Ohio State (1–0),Texas (2–0),Florida (3–0),Ohio State (4–0),Oregon State (3–0),Georgia (5–1),Clemson (5–1),Clemson (6–1),Oklahoma (5–2),Oklahoma (6–2),Stanford (8–2),Oklahoma (8–2),Nebraska (10–2),Clemson (10–2),LSU (10–3)
Texas,Virginia Tech (1–0),Kansas State (2–0),Kansas State (3–0),TCU (3–0),Clemson (4–1) т,Texas (4–1),Mississippi State (5–0),Texas Tech (6–1),Stanford (6–2),Texas A&M (7–2),Oregon State (7–2),UCLA (9–2),Clemson (10–2),Oregon State (9–3),Oklahoma (10–3)
Virginia Tech,Nebraska (1–0),TCU (1–0),Ohio State (3–0),Oklahoma (2–1),TCU (4–0) т,Clemson (5–1),Louisville (6–0),Louisville (7–0),Texas A&M (6–2),Stanford (7–2),Nebraska (8–2),Oregon State (8–2),Oregon State (8–3),Northern Illinois (12–1),Utah State (11–2)
Nebraska,Texas (1–0),Michigan (1–1),TCU (2–0),Clemson (3–1),Oklahoma (2–1),Stanford (4–1),West Virginia (5–1),South Carolina (6–2),Mississippi State (7–1),UCLA (7–2),UCLA (8–2),Nebraska (9–2),UCLA (9–3),UCLA (9–4),Northwestern (10–3)
Ohio State,Oklahoma State (1–0),Florida (2–0),Michigan (2–1),Oregon State (2–0),Stanford (3–1),Louisville (5–0),Texas Tech (5–1),Rutgers (7–0),USC (6–2),Nebraska (7–2),Texas (8–2),Texas (8–2),Kent State (11–1),Utah State (10–2),Boise State (11–2)
Oklahoma State,Michigan (0–1),Louisville (2–0),UCLA (3–0),Louisville (4–0),Louisville (5–0),Mississippi State (5–0),Rutgers (6–0),Stanford (5–2),Boise State (7–1),Louisiana Tech (8–1) т,Louisiana Tech (9–1),Louisville (9–1),Northern Illinois (11–1),Michigan (8–4),Texas (9–4)
TCU,TCU (0–0),Notre Dame (2–0),Louisville (3–0),Michigan State (3–1),Mississippi State (4–0),Rutgers (5–0),Texas A&M (5–1),Michigan (5–2),Texas Tech (6–2),Texas (7–2) т,Louisville (9–1),Michigan (8–3),Utah State (10–2),Boise State (10–2),Oregon State (9–4)
Stanford,Kansas State (1–0),Stanford (2–0),Michigan State (2–1),Mississippi State (4–0),Nebraska (4–1),Cincinnati (4–0),Cincinnati (5–0),Boise State (6–1),Nebraska (6–2),USC (6–3),USC (7–3),Rutgers (9–1),Michigan (8–4),Northwestern (9–3),San Jose State (11–2)
Kansas State,Notre Dame (1–0),UCLA (2–0),Arizona (3–0),Nebraska (3–1),Rutgers (4–0),Texas A&M (4–1),Stanford (4–2),Texas A&M (5–2),Louisiana Tech (7–1),Mississippi State (7–2),Rutgers (8–1),Oklahoma State (7–3),Northwestern (9–3),Louisville (10–2),Northern Illinois (12–2)
Florida,Louisville (1–0),Tennessee (2–0),Mississippi State (3–0),Rutgers (4–0),Washington (3–1),Louisiana Tech (5–0),Michigan (4–2),Ohio (7–0),West Virginia (5–2),Toledo (8–1),Michigan (7–3) т,Kent State (10–1),Texas (8–3),Nebraska (10–3),Vanderbilt (9–4)
Boise State,Florida (1–0),Arizona (2–0),Boise State (1–1),Boise State (2–1),Northwestern (5–0),Boise State (4–1),Boise State (5–1),Louisiana Tech (6–1),Arizona (5–3),Rutgers (7–1),Texas Tech (7–3) т,Northern Illinois (10–1),Oklahoma State (7–4),San Jose State (10–2),Michigan (8–5)
Louisville,Stanford (1–0),BYU (2–0),Nebraska (2–1),Baylor (3–0),UCLA (4–1),Michigan (3–2),Ohio (7–0),West Virginia (5–2),UCLA (6–2),Texas Tech (6–3),Kent State (9–1),Mississippi State (8–3) т Utah State (9–2) т,Boise State (9–2),Kent State (11–2),Nebraska (10–4)
