"Preseason","Week 1
Sep 3[2]","Week 2
Sep 8[3]","Week 3
Sep 15[4]","Week 4
Sep 22[5]","Week 5
Sep 29[6]","Week 6
Oct 6[7]","Week 7
Oct 13[8]","Week 8
Oct 20[9]","Week 9
Oct 27[10]","Week 10
Nov 3[11]","Week 11
Nov 10[12]","Week 12
Nov 17[13]","Week 13
Nov 24[14]","Week 14
Dec 1[15]","Week 15
Dec 8[16]","Final"
Alabama (58),Alabama (1–0) (58),Alabama (1–0) (58),Alabama (2–0) (61),Alabama (3–0) (59),Alabama (4–0) (59),Alabama (5–0) (57),Alabama (6–0) (58),Alabama (7–0) (57),Alabama (8–0) (56),Alabama (8–0) (54),Alabama (9–0) (58),Alabama (10–0) (56),Alabama (11–0) (56),Florida State (12–0) (58),Florida State (13–0) (62),Florida State (14–0) (59)
Ohio State (3),Ohio State (1–0) (3),Oregon (2–0) (1),Oregon (3–0) (1),Oregon (3–0) (3),Oregon (4–0) (2),Oregon (5–0) (4),Oregon (6–0) (3),Oregon (7–0) (4),Oregon (8–0) (6),Oregon (8–0) (5),Florida State (9–0) (4),Florida State (10–0) (6),Florida State (11–0) (6),Ohio State (12–0) (4),Auburn (12–1),Auburn (12–2)
Oregon,Oregon (1–0),Ohio State (2–0) (2),Ohio State (3–0),Ohio State (4–0),Ohio State (5–0),Ohio State (6–0),Ohio State (6–0),Florida State (6–0) (1),Florida State (7–0),Florida State (8–0) (3),Ohio State (9–0),Ohio State (10–0),Ohio State (11–0),Auburn (11–1),Alabama (11–1),Michigan State (13–1)
Stanford,Stanford (0–0),Stanford (1–0),Clemson (2–0),Clemson (3–0),Clemson (4–0) (1),Clemson (5–0) (1),Clemson (6–0) (1),Ohio State (7–0),Ohio State (8–0),Ohio State (9–0),Baylor (8–0),Baylor (9–0),Clemson (10–1),Alabama (11–1),Michigan State (12–1),South Carolina (11–2)
Georgia,Clemson (1–0),Clemson (2–0),Stanford (2–0),Stanford (3–0),Stanford (4–0),Stanford (5–0),Florida State (5–0),Baylor (6–0),Baylor (7–0),Baylor (7–0),Stanford (8–1),Oregon (9–1),Auburn (10–1),Missouri (11–1),Baylor (11–1),Missouri (12–2)
Texas A&M (1),South Carolina (1–0),Texas A&M (2–0) (1),Louisville (3–0),LSU (4–0),Georgia (3–1),Florida State (5–0),Louisville (6–0),Miami (FL) (6–0),Miami (FL) (7–0),Stanford (7–1),Clemson (8–1),Clemson (9–1),Missouri (10–1),Oklahoma State (10–1),Ohio State (12–1),Oklahoma (11–2)
South Carolina,Texas A&M (1–0) (1),Louisville (2–0),LSU (3–0),Louisville (4–0),Louisville (4–0),Georgia (4–1),Texas A&M (5–1),Missouri (7–0),Stanford (7–1),Clemson (8–1),Oregon (8–1),Auburn (10–1),Oklahoma State (10–1),Baylor (10–1) т,Stanford (11–2),Clemson (11–2)
Clemson,Louisville (1–0),LSU (2–0),Florida State (2–0),Florida State (3–0),Florida State (4–0),Louisville (5–0),LSU (6–1),Stanford (6–1),Clemson (7–1),Oklahoma (7–1),Missouri (9–1),Missouri (9–1),Baylor (9–1),South Carolina (10–2) т,South Carolina (10–2),Alabama (11–2)
Louisville,Florida (1–0),Florida State (1–0),Texas A&M (2–1),Texas A&M (3–1),Texas A&M (4–1),Texas A&M (4–1),South Carolina (5–1),Texas Tech (7–0),Oklahoma (7–1),Missouri (8–1),Auburn (9–1),Oklahoma State (9–1),South Carolina (9–2),Michigan State (11–1),Missouri (11–2),Oregon (11–2)
Florida,Florida State (1–0),Georgia (1–1),Georgia (1–1),Georgia (2–1),Oklahoma (4–0),Oklahoma (5–0),UCLA (5–0),Clemson (6–1),Missouri (7–1),Auburn (8–1),Oklahoma State (8–1),Texas A&M (8–2),Stanford (9–2),Stanford (10–2),Oklahoma (10–2),Ohio State (12–2) т
