"Preseason","Week 1
Sep 8[2]","Week 2
Sep 13[3]","Week 3
Sep 20[4]","Week 4
Sep 27[5]","Week 5
Oct 4[6]","Week 6
Oct 11[7]","Week 7
Oct 18[8]","Week 8
Oct 25[9]","Week 9
Nov 1[10]","Week 10
Nov 8[11]","Week 11
Nov 15[12]","Week 12
Nov 22[13]","Week 13
Nov 29","Week 14
Dec 6","Final"
Ohio State (61),Ohio State (1–0) (61),Ohio State (2–0) (59),Ohio State (3–0) (42),Ohio State (4–0) (45),Ohio State (5–0) (38),Ohio State (6–0) (27),Ohio State (7–0) (28),Ohio State (8–0) (39),Ohio State (8–0) (39),Clemson (9–0) (31),Clemson (10–0) (34),Clemson (11–0) (55),Clemson (12–0) (53),Clemson (13–0) (51),Alabama (14–1) (61)
TCU,Alabama (1–0),Alabama (2–0),Michigan State (3–0) (7),Michigan State (4–0) (5),TCU (5–0) (5),Baylor (5–0) (13),Baylor (6–0) (12),Baylor (7–0) (7),Baylor (7–0) (6),Ohio State (9–0) (26),Ohio State (10–0) (23),Alabama (10–1) (6),Alabama (11–1) (8),Alabama (12–1) (9),Clemson (14–1)
Alabama,TCU (1–0),TCU (2–0),Ole Miss (3–0) (11) т,Ole Miss (4–0) (10),Baylor (5–0) (10),TCU (6–0) (3),Utah (6–0) (16),Clemson (7–0) (6),Clemson (8–0) (6),Alabama (8–1) (2),Alabama (9–1) (4),Iowa (11–0),Oklahoma (11–1),Michigan State (12–1) (1),Stanford (12–2)
Baylor,Baylor (1–0),Michigan State (2–0) (2),TCU (3–0) т,TCU (4–0),Michigan State (5–0),Utah (5–0) (16),TCU (7–0) (3),LSU (7–0) (5),LSU (7–0) (5),Baylor (8–0) (2),Oklahoma State (10–0),Notre Dame (10–1),Iowa (12–0),Oklahoma (11–1),Ohio State (12–1)
Michigan State,Michigan State (1–0),Baylor (2–0),Baylor (2–0),Baylor (3–0),Utah (4–0) (7),Clemson (5–0) (1),LSU (6–0) (1),TCU (7–0) (3),TCU (8–0) (4),Oklahoma State (9–0),Notre Dame (9–1),Oklahoma (10–1),Michigan State (11–1),Stanford (11–2),Oklahoma (11–2)
Auburn,Auburn (1–0),USC (2–0),Notre Dame (3–0),Notre Dame (4–0),Clemson (4–0),LSU (5–0),Clemson (6–0) (1),Michigan State (8–0),Michigan State (8–0),Notre Dame (8–1),Iowa (10–0),Michigan State (10–1),Ohio State (11–1),Iowa (12–1),Michigan State (12–2)
Oregon,Oregon (1–0),Georgia (2–0),Georgia (3–0),UCLA (4–0),LSU (4–0),Michigan State (6–0),Michigan State (7–0),Alabama (7–1) (1),Alabama (7–1) (1),Stanford (8–1),Oklahoma (9–1),Baylor (9–1),Stanford (10–2),Ohio State (11–1),TCU (11–2)
USC,USC (1–0),Notre Dame (2–0),LSU (2–0) (1),Georgia (4–0),Alabama (4–1),Florida (6–0),Alabama (6–1),Stanford (6–1),Notre Dame (7–1),Iowa (9–0),Florida (9–1),Ohio State (10–1),North Carolina (11–1),Notre Dame (10–2),Houston (13–1)
Georgia,Notre Dame (1–0),Florida State (2–0),UCLA (3–0),LSU (3–0),Texas A&M (5–0) (1),Texas A&M (5–0) (1),Florida State (6–0),Notre Dame (6–1),Stanford (7–1),LSU (7–1),Michigan State (9–1),Oklahoma State (10–1),Notre Dame (10–2),Florida State (10–2),Iowa (12–2)
Florida State,Georgia (1–0),UCLA (2–0),Florida State (3–0),Utah (4–0) (1),Oklahoma (4–0),Alabama (5–1),Stanford (5–1),Iowa (7–0),Iowa (8–0),Utah (8–1),Baylor (8–1),Florida (10–1),Florida State (10–2),North Carolina (11–2),Ole Miss (10–3)
Notre Dame,Florida State (1–0),Clemson (2–0),Clemson (3–0),Florida State (4–0),Florida (5–0),Florida State (5–0),Notre Dame (6–1),Florida (6–1),Florida (7–1),Florida (8–1),TCU (9–1),North Carolina (10–1),TCU (10–2),TCU (10–2),Notre Dame (10–3)
Clemson,Clemson (1–0),Oregon (1–1),Alabama (2–1),Clemson (3–0),Florida State (4–0),Michigan (5–1),Iowa (7–0),Oklahoma State (7–0),Oklahoma State (8–0),Oklahoma (8–1),North Carolina (9–1),Michigan (9–2),Baylor (9–2),Northwestern (10–2),Michigan (10–3)
UCLA,UCLA (1–0),LSU (1–0),Oregon (2–1),Alabama (3–1),Northwestern (5–0),Ole Miss (5–1),Florida (6–1),Utah (6–1),Utah (7–1),TCU (8–1),Houston (10–0),Stanford (9–2),Northwestern (10–2),Oklahoma State (10–2),Baylor (10–3)
LSU,LSU (0–0),Georgia Tech (2–0),Texas A&M (3–0),Texas A&M (4–0),Ole Miss (4–1),Notre Dame (5–1),Oklahoma State (6–0),Oklahoma (6–1),Oklahoma (7–1),Michigan State (8–1),Michigan (8–2),Florida State (9–2),Oklahoma State (10–2),Houston (12–1),Florida State (10–3)
Arizona State,Georgia Tech (1–0),Ole Miss (2–0),Oklahoma (3–0),Oklahoma (3–0),Notre Dame (4–1),Stanford (4–1),Michigan (5–2) т,Michigan (5–2),Memphis (8–0),Michigan (7–2),Stanford (8–2),TCU (9–2),Oregon (9–3),Oregon (9–3),North Carolina (11–3)
