"Preseason","Week 1
Sep 6[2]","Week 2
Sep 11[3]","Week 3
Sep 18[4]","Week 4
Sep 25[5]","Week 5
Oct 2[6]","Week 6
Oct 10[7]","Week 7
Oct 16[8]","Week 8
Oct 23[9]","Week 9
Oct 30[10]","Week 10
Nov 6[11]","Week 11
Nov 13[12]","Week 12
Nov 20[13]","Week 13
Nov 27[14]","Week 14
Dec 4[15]","Final"
Alabama (33),Alabama (1–0) (54),Alabama (2–0) (56),Alabama (3–0) (50),Alabama (4–0) (50),Alabama (5–0) (53),Alabama (6–0) (56),Alabama (7–0) (60),Alabama (8–0) (60),Alabama (8–0) (60),Alabama (9–0) (60),Alabama (10–0) (61),Alabama (11–0) (61),Alabama (12–0) (61),Alabama (13–0),Clemson (14–1) (60)
Clemson (16),Clemson (1–0) (2),Florida State (2–0) (4),Ohio State (3–0) (4),Ohio State (3–0) (4),Ohio State (4–0) (6),Ohio State (5–0) (2),Ohio State (6–0),Michigan (7–0) (1),Michigan (8–0) (1),Michigan (9–0) (1),Ohio State (9–1),Ohio State (10–1),Ohio State (11–1),Ohio State (11-1),Alabama (14–1)
Oklahoma (4),Florida State (1–0) (4),Ohio State (2–0),Louisville (3–0) (6),Louisville (4–0) (6),Clemson (5–0) (1),Clemson (6–0) (2),Michigan (6–0) (1),Clemson (7–0),Clemson (8–0),Clemson (9–0),Louisville (9–1),Michigan (10–1),Clemson (11–1),Clemson (12-1),USC (10–3)
Florida State (5),Ohio State (1–0),Michigan (2–0) (1),Michigan (3–0) (1),Michigan (4–0) (1),Michigan (5–0) (1),Michigan (6–0) (1),Clemson (7–0),Washington (7–0),Washington (8–0),Washington (9–0),Michigan (9–1),Clemson (10–1),Washington (11–1),Washington (12-1),Washington (12–2)
LSU (1),Michigan (1–0) (1),Clemson (2–0),Clemson (3–0),Clemson (4–0),Washington (5–0),Washington (6–0),Washington (6–0),Louisville (6–1),Louisville (7–1),Louisville (8–1),Clemson (9–1),Wisconsin (9–2),Michigan (10–2),Penn State (11–2),Oklahoma (11–2)
Ohio State (1),Houston (1–0),Houston (2–0),Houston (3–0),Houston (4–0),Houston (5–0),Texas A&M (6–0),Texas A&M (6–0),Ohio State (6–1),Ohio State (7–1),Ohio State (8–1),Wisconsin (8–2),Washington (10–1),Wisconsin (10–2),Michigan (10–2),Ohio State (11–2)
Michigan (1),Stanford (1–0),Stanford (1–0),Stanford (2–0),Stanford (3–0),Louisville (4–1),Louisville (4–1),Louisville (5–1),Nebraska (7–0),Texas A&M (7–1),Wisconsin (7–2),Washington (9–1),Oklahoma (9–2),Oklahoma (9–2),Oklahoma (10–2),Penn State (11–3)
Stanford,Washington (1–0),Washington (2–0),Michigan State (2–0),Wisconsin (4–0),Texas A&M (5–0),Wisconsin (4–1),Nebraska (6–0),Baylor (6–0),Wisconsin (6–2),Auburn (7–2),Oklahoma (8–2),Penn State (9–2),Penn State (10–2),Wisconsin (10–3),Florida State (10–3)
Tennessee,Georgia (1–0),Wisconsin (2–0),Washington (3–0),Texas A&M (4–0),Tennessee (5–0),Tennessee (5–1),Baylor (6–0),Texas A&M (6–1),Nebraska (7–1),Oklahoma (7–2),Penn State (8–2),Colorado (9–2),Colorado (10–2),USC (9–3),Wisconsin (11–3)
Notre Dame,Wisconsin (1–0),Louisville (2–0),Texas A&M (3–0),Washington (4–0),Miami (FL) (4–0),Nebraska (5–0),Wisconsin (4–2),West Virginia (6–0),Florida (6–1),Texas A&M (7–2),West Virginia (8–1),Oklahoma State (9–2),USC (9–3),Florida State (9–3),Michigan (10–3)
