"Preseason","Week 1
Sep 5[2]","Week 2
Sep 10[3]","Week 3
Sep 17[4]","Week 4
Sep 24[5]","Week 5
Oct 1[6]","Week 6
Oct 8[7]","Week 7
Oct 15[8]","Week 8
Oct 22[9]","Week 9
Oct 29[10]","Week 10
Nov 5[11]","Week 11
Nov 12[12]","Week 12
Nov 19[13]","Week 13
Nov 26[14]","Week 14
Dec 3[15]","Final"
Alabama (52),Alabama (1–0) (60),Alabama (2–0) (58),Alabama (3–0) (45),Alabama (4–0) (52),Alabama (5–0) (44),Alabama (6–0) (43),Alabama (7–0) (61),Alabama (8–0) (61),Alabama (8–0) (59),Alabama (9–0) (56),Alabama (10–0) (57),Alabama (11–0) (58),Clemson (11–1) (27),Clemson (12–1) (43),Alabama (13–1) (57)
Ohio State (3),Ohio State (1–0) (1),Oklahoma (2–0) (2),Clemson (3–0) (15),Clemson (4–0) (8),Clemson (5–0) (17),Clemson (6–0) (18),Penn State (6–0),Penn State (7–0),Georgia (8–0) (2),Georgia (9–0) (5),Miami (FL) (9–0) (4),Miami (FL) (10–0) (3),Oklahoma (11–1) (24),Oklahoma (12–1) (18),Georgia (13–2)
Florida State (4),Clemson (1–0),Clemson (2–0) (1),Oklahoma (3–0) (1),Oklahoma (4–0) (1),Oklahoma (4–0),Penn State (6–0),Georgia (7–0),Georgia (7–0),Ohio State (7–1),Notre Dame (8–1),Oklahoma (9–1),Oklahoma (10–1),Wisconsin (12–0) (10),Georgia (12–1),Oklahoma (12–2)
USC (2),Penn State (1–0),USC (2–0),Penn State (3–0),Penn State (4–0),Penn State (5–0),Georgia (6–0),TCU (6–0),TCU (7–0),Wisconsin (8–0),Clemson (8–1),Clemson (9–1),Clemson (10–1),Auburn (10–2),Alabama (11–1),Clemson (12–2)
Clemson,Oklahoma (1–0),Penn State (2–0),USC (3–0),USC (4–0),Georgia (5–0),Washington (6–0),Wisconsin (6–0),Wisconsin (7–0),Notre Dame (7–1),Oklahoma (8–1),Wisconsin (10–0),Wisconsin (11–0),Alabama (11–1),Ohio State (11–2),Ohio State (12–2)
Penn State,USC (1–0),Washington (2–0),Oklahoma State (3–0),Washington (4–0),Washington (5–0),TCU (5–0),Ohio State (6–1),Ohio State (6–1),Clemson (7–1),Wisconsin (9–0),Auburn (8–2),Auburn (9–2),Georgia (11–1),Wisconsin (12–1),UCF (13–0) (4)
Oklahoma,Washington (1–0),Michigan (2–0),Washington (3–0),Georgia (4–0),Michigan (4–0),Wisconsin (5–0),Clemson (6–1),Clemson (6–1),Penn State (7–1),Miami (FL) (8–0),Georgia (9–1),Georgia (10–1),Miami (FL) (10–1),Auburn (10–3),Wisconsin (13–1)
Washington,Michigan (1–0),Ohio State (1–1),Michigan (3–0),Michigan (4–0),TCU (4–0),Washington State (6–0),Miami (FL) (5–0),Miami (6–0),Oklahoma (7–1),TCU (8–1),Ohio State (8–2),Ohio State (9–2),Ohio State (10–2),USC (11–2),Penn State (11–2)
Wisconsin,Wisconsin (1–0),Oklahoma State (2–0),Wisconsin (3–0),TCU (4–0),Wisconsin (4–0),Ohio State (5–1),Oklahoma (5–1),Notre Dame (6–1),Miami (FL) (7–0),Washington (8–1),Notre Dame (8–2),Notre Dame (9–2),Penn State (10–2),Penn State (10–2),TCU (11–3)
Oklahoma State,Florida State (0–1),Wisconsin (2–0),Ohio State (2–1),Wisconsin (3–0),Ohio State (4–1),Auburn (5–1),Oklahoma State (5–1),Oklahoma (6–1),TCU (7–1),Auburn (7–2),Oklahoma State (8–2),TCU (9–2),TCU (10–2),UCF (12–0),Auburn (10–4)
Michigan,Oklahoma State (1–0),Florida State (0–1),Georgia (3–0),Ohio State (3–1),Washington State (5–0),Miami (FL) (4–0),USC (6–1),Oklahoma State (6–1),Oklahoma State (7–1),Ohio State (7–2),TCU (8–2),USC (10–2),USC (10–2),Miami (10–2),Notre Dame (10–3)
Auburn,LSU (1–0),LSU (2–0),Florida State (0–1),Virginia Tech (4–0),Auburn (4–1),Oklahoma (4–1),Washington (6–1),Washington (6–1),Washington (7–1),Oklahoma State (7–2),USC (9–2),Penn State (9–2),UCF (11–0),Washington (10–2),USC (11–3)
LSU,Auburn (1–0),Georgia (2–0),Virginia Tech (3–0),Auburn (3–1),Miami (FL) (3–0),USC (5–1),Notre Dame (5–1),Virginia Tech (6–1),Virginia Tech (7–1),Michigan State (7–2),Penn State (8–2),UCF (10–0),Washington (10–2),TCU (10–3),Miami (10–3)
Stanford,Stanford (1–0),Louisville (2–0),Miami (FL) (1–0),Miami (2–0),USC (4–1),Oklahoma State (4–1),Virginia Tech (5–1),NC State (6–1),Iowa State (6–2),UCF (8–0),UCF (9–0),Washington State (9–2),Stanford (9–3),Notre Dame (9–3),Oklahoma State (10–3)
Georgia,Georgia (1–0),Auburn (1–1),Auburn (2–1),Oklahoma State (3–1),Oklahoma State (4–1),Virginia Tech (5–1),Washington State (6–1),Washington State (7–1),UCF (7–0),USC (8–2),Washington State (9–2),Washington (9–2),Notre Dame (9–3),Stanford (9–4),Michigan State (10–3)
Louisville,Miami (FL) (1–0),Virginia Tech (2–0),TCU (3–0),Washington State (4–0),Virginia Tech (4–1),Notre Dame (5–1),South Florida (6–0),Michigan State (6–1),Auburn (6–2),Penn State (7–2),Washington (8–2),Mississippi State (8–3),Memphis (10–1),LSU (9–3),Washington (10–3)
Florida,Louisville (1–0),Miami (FL) (1–0),Mississippi State (3–0),Louisville (3–1),Louisville (4–1),Michigan (4–1),NC State (6–1),South Florida (7–0),USC (7–2),Virginia Tech (7–2),Mississippi State (7–3),Memphis (9–1),LSU (9–3),Oklahoma State (9–3),Northwestern (10–3)
Miami (FL),Virginia Tech (1–0),Kansas State (2–0),Washington State (3–0),South Florida (4–0),South Florida (5–0),South Florida (5–0),Michigan State (5–1),UCF (6–0),Stanford (6–2),Mississippi State (7–2),Memphis (8–1),Oklahoma State (8–3),Oklahoma State (9–3),Michigan State (9–3),LSU (9–4)
South Florida,Kansas State (1–0),Stanford (1–1),Louisville (2–1),San Diego State (4–0),San Diego State (5–0),San Diego State (6–0),Michigan (5–1),Auburn (6–2),LSU (6–2),Washington State (8–2),Michigan (8–2),LSU (8–3),Michigan State (9–3),Memphis (10–2),Mississippi State (9–4)
