School,Confrence,Revenue,Expenses
Texas,Big 12,"$214,830,647","$207,022,323"
Michigan,Big Ten,"$185,173,187","$175,425,392"
Ohio State,Big Ten,"$185,409,602","$173,507,435"
Alabama,SEC,"$174,307,419","$158,646,962"
Texas A&M,SEC,"$211,960,034","$146,546,229"
Florida State,ACC,"$144,514,413","$143,373,261"
Wisconsin,Big Ten,"$143,420,668","$142,930,591"
Penn State,Big Ten,"$144,017,055","$138,724,055"
Tennessee,SEC,"$145,653,191","$134,880,229"
Oklahoma,Big 12,"$155,238,481","$132,910,780"
Auburn,SEC,"$147,511,034","$132,885,979"
Florida,SEC,"$149,165,475","$131,789,499"
LSU,SEC,"$147,744,233","$131,717,421"
South Carolina,SEC,"$136,032,845","$129,317,382"
Iowa,Big Ten,"$130,681,467","$128,869,211"
Kentucky,SEC,"$130,706,744","$125,333,866"
Washington,Pac-12,"$128,745,183","$123,503,513"
Oregon,Pac-12,"$145,417,315","$119,945,650"
Georgia,SEC,"$157,852,479","$119,218,908"
Louisville,ACC,"$120,445,303","$118,383,769"
Michigan State,Big Ten,"$126,021,377","$117,506,272"
Minnesota,Big Ten,"$116,376,862","$114,201,678"
Arkansas,SEC,"$129,680,808","$112,902,474"
Nebraska,Big Ten,"$120,205,090","$112,571,632"
Clemson,ACC,"$112,600,964","$111,126,235"
Mississippi,SEC,"$117,834,511","$108,885,512"
California,Pac-12,"$90,976,576","$106,959,739"
Indiana,Big Ten,"$106,139,192","$106,131,819"
UCLA,Pac-12,"$104,106,646","$104,106,646"
Missouri,SEC,"$97,848,195","$102,409,131"
Illinois,Big Ten,"$97,447,731","$100,739,817"
Virginia,ACC,"$92,865,175","$100,324,517"
Rutgers,Big Ten,"$96,883,027","$99,193,280"
Arizona State,Pac-12,"$101,579,860","$98,825,395"
North Carolina,ACC,"$96,551,626","$96,540,823"
Maryland,Big Ten,"$94,881,357","$94,796,897"
Kansas,Big 12,"$95,251,461","$94,709,233"
Arizona,Pac-12,"$90,976,758","$91,756,963"
Virginia Tech,ACC,"$87,427,526","$90,716,423"
Colorado,Pac-12,"$94,226,111","$90,640,627"
Oklahoma State,Big 12,"$91,644,865","$89,833,094"
West Virginia,Big 12,"$110,565,870","$89,196,193"
Texas Tech,Big 12,"$88,804,476","$86,984,083"
North Carolina State,ACC,"$83,741,572","$86,924,779"
Mississippi State,SEC,"$100,062,237","$86,351,432"
Purdue,Big Ten,"$84,841,133","$85,709,495"
Georgia Tech,ACC,"$81,762,024","$84,852,123"
Connecticut,AAC,"$83,374,223","$83,121,820"
Oregon State,Pac-12,"$78,959,875","$82,730,626"
Iowa State,Big 12,"$82,659,447","$82,565,176"
Utah,Pac-12,"$83,672,639","$81,620,307"
Kansas State,Big 12,"$86,081,528","$73,970,354"
Washington State,Pac-12,"$64,294,520","$71,801,820"
Cincinnati,AAC,"$60,458,195","$62,804,292"
Central Florida,AAC,"$56,327,225","$56,327,225"
Houston,AAC,"$57,174,900","$55,277,308"
San Diego State,Mt. West,"$52,454,787","$51,569,852"
Air Force,Mt. West,"$59,577,780","$50,112,617"
Hawaii,Big West,"$47,780,885","$48,984,980"
Memphis,AAC,"$48,716,830","$48,443,158"
East Carolina,AAC,"$48,312,311","$48,387,287"
South Florida,AAC,"$49,960,338","$48,227,500"
James Madison,CAA,"$48,210,400","$48,210,400"
Massachusetts,A-10,"$48,054,005","$47,535,791"
Nevada-Las Vegas,Mt. West,"$47,327,478","$47,476,606"
Old Dominion,C-USA,"$46,203,813","$46,181,753"
Boise State,Mt. West,"$45,486,486","$45,456,789"
New Mexico,Mt. West,"$44,421,019","$44,356,217"
Fresno State,Mt. West,"$46,215,249","$44,119,522"
Colorado State,Mt. West,"$44,672,317","$43,965,622"
Delaware,CAA,"$40,883,947","$40,883,947"
Arkansas State,Sun Belt,"$39,459,027","$39,459,027"
Nevada,Mt. West,"$36,955,558","$38,982,774"
Wyoming,Mt. West,"$40,372,222","$38,669,544"
Western Michigan,MAC,"$38,516,531","$38,271,134"
North Texas,C-USA,"$32,150,203","$36,363,381"
Miami (Ohio),MAC,"$37,766,348","$36,097,843"
Texas State,Sun Belt,"$38,445,832","$35,915,260"
Buffalo,MAC,"$35,892,221","$35,883,884"
Appalachian State,Sun Belt,"$35,058,621","$35,065,566"
California-Davis,Big West,"$35,954,033","$34,625,583"
Utah State,Mt. West,"$34,398,296","$34,213,406"
Florida Atlantic,C-USA,"$34,509,259","$34,102,683"
Middle Tennessee,C-USA,"$34,040,334","$34,040,334"
Akron,MAC,"$35,331,217","$33,895,809"
Coastal Carolina,Sun Belt,"$33,703,994","$33,704,483"
Virginia Commonwealth,A-10,"$34,297,744","$33,595,855"
Charlotte,C-USA,"$37,931,802","$33,246,728"
Florida International,C-USA,"$33,389,929","$33,003,699"
Toledo,MAC,"$32,925,921","$32,925,921"
Ohio,MAC,"$32,234,688","$32,621,410"
Eastern Michigan,MAC,"$32,311,247","$32,311,246"
Texas-El Paso,C-USA,"$31,781,343","$32,039,189"
Central Michigan,MAC,"$34,692,784","$31,792,125"
Stony Brook,Am East,"$32,458,520","$31,339,766"
New Hampshire,Am East,"$31,621,272","$31,243,908"
San Jose State,Mt. West,"$31,252,553","$30,676,330"
Western Kentucky,C-USA,"$30,439,066","$30,439,067"
Marshall,C-USA,"$29,287,471","$30,342,248"
Texas-San Antonio,C-USA,"$28,772,631","$30,104,385"
Troy,Sun Belt,"$29,962,107","$29,962,107"
Georgia State,Sun Belt,"$30,230,203","$29,859,420"
George Mason,A-10,"$29,649,087","$29,649,087"
Kent State,MAC,"$28,837,710","$29,504,048"
Georgia Southern,Sun Belt,"$28,895,052","$28,761,605"
North Dakota State,Summit,"$27,267,507","$28,124,505"
Rhode Island,A-10,"$28,203,093","$28,048,377"
South Alabama,Sun Belt,"$30,693,877","$27,949,252"
California Polytechnic,Big West,"$31,435,074","$27,908,939"
William & Mary,CAA,"$28,401,480","$27,539,636"
Ball State,MAC,"$26,098,565","$27,410,745"
Louisiana-Lafayette,Sun Belt,"$28,326,919","$27,408,419"
Towson,CAA,"$26,989,399","$26,972,945"
Southern Illinois,Mo. Valley,"$22,722,740","$26,785,157"
North Dakota,Big Sky,"$28,201,349","$26,727,343"
Missouri State,Mo. Valley,"$26,374,654","$26,374,654"
Wichita State,Mo. Valley,"$27,791,259","$26,182,954"
Sacramento State,Big Sky,"$28,275,369","$25,866,367"
Northern Illinois,MAC,"$25,795,597","$25,661,395"
Southern Mississippi,C-USA,"$23,984,639","$25,251,618"
Illinois State,Mo. Valley,"$27,852,407","$25,144,172"
Albany,Am East,"$23,502,958","$24,361,609"
Kennesaw State,Atl Sun,"$25,326,240","$24,193,201"
Louisiana Tech,C-USA,"$24,722,695","$23,828,481"
Alabama at Birmingham,C-USA,"$24,795,218","$23,803,547"
Bowling Green,MAC,"$25,303,291","$23,753,571"
New Mexico State,WAC,"$26,114,479","$23,507,513"
Idaho,Big Sky,"$23,825,002","$22,817,285"
California-Santa Barbara,Big West,"$20,484,071","$22,293,939"
Vermont,Am East,"$21,889,573","$22,060,888"
Montana,Big Sky,"$27,192,240","$21,206,839"
Maine,Am East,"$20,941,860","$20,961,302"
South Dakota State,Summit,"$22,075,310","$20,880,295"
Montana State,Big Sky,"$21,927,521","$20,768,973"
California-Irvine,Big West,"$19,978,266","$20,562,643"
Nebraska-Omaha,Summit,"$22,956,239","$20,261,523"
Long Beach State,Big West,"$20,258,440","$20,214,762"
College of Charleston,CAA,"$20,450,663","$19,931,472"
Massachusetts-Lowell,Am East,"$19,931,925","$19,656,525"
Binghamton,Am East,"$19,753,526","$19,139,662"
